range_days;current_start;current_end;page;query;clicks;impressions;ctr;position;previous_clicks;previous_impressions;previous_ctr;previous_position;delta_clicks;delta_impressions;delta_position;post_id;post_title;page_type;seo_title;seo_description;canonical;in_sitemap;noindex;word_count;non_target_query
28;2026-07-03;2026-07-30;https://hasimuener.de/b2b-solar-leads/;"b2b photovoltaik";1;3;0,3333;8,67;0;2;0,0000;13,00;1;1;-4,33;15199;"B2B Solar Leads – gewerbliche Photovoltaik-Anfrage-Systeme";page;"PV-Termine B2B & Photovoltaik Leads: Gewerbe statt Masse";"Gewerbliche PV-Termine und Anfragen für Hallendächer, Quartiere & PPA: vorqualifiziert statt eingekauft. Eigenes Anfrage-System statt Termin-Provision.";https://hasimuener.de/b2b-solar-leads/;1;0;1362;0
28;2026-07-03;2026-07-30;https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;"checkfox erfahrungen";1;32;0,0313;8,19;0;0;0,0000;0,00;1;32;;15276;"Checkfox für Solar- und Wärmepumpen-Betriebe: Seriosität, Mechanik und Markteinordnung";post;"Checkfox Erfahrungen: Ist das Portal seriös für Betriebe?";"Ist Checkfox seriös? Unabhängige Einordnung für Solar- & Wärmepumpen-Betriebe: Portal-Mechanik, Kosten-Logik und die Alternative zu gekauften Leads.";https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;1;0;703;0
28;2026-07-03;2026-07-30;https://hasimuener.de/wordpress-agentur-hannover/;"wordpress agentur hannover";1;190;0,0053;26,64;0;333;0,0000;14,23;1;-143;12,41;10777;"WordPress Agentur Hannover";page;"WordPress Agentur Hannover: SEO, Tracking & CRO";"WordPress Agentur Hannover für messbare B2B-Anfragen: technisches SEO, Server-Side Tracking, CRO. Erst Projektprüfung, dann Umsetzung. CPL-Case: 150 € → 22 €.";https://hasimuener.de/wordpress-agentur-hannover/;1;0;632;0
28;2026-07-03;2026-07-30;https://hasimuener.de/;"seo pattensen";0;1;0,0000;11,00;0;3;0,0000;11,00;0;-2;0,00;11953;"WordPress-Architektur &amp; Performance Marketing (B2B) · Hannover &amp; DACH";front_page;"WordPress Growth Architect | Hasim Üner Hannover";"Ihr strategischer Partner für digitales Wachstum. Gemeinsam finden wir den klaren Weg zum Erfolg für Ihr WordPress-Projekt in Hannover.";https://hasimuener.de/;1;0;1569;0
28;2026-07-03;2026-07-30;https://hasimuener.de/aroundhome-solar-einordnung/;"around home kosten";0;3;0,0000;9,33;0;0;0,0000;0,00;0;3;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Erfahrungen für Handwerker: Kosten & Einordnung";"Aroundhome aus Handwerker-Sicht: was öffentliche Erfahrungen zeigen, wie die Kosten-Logik funktioniert und wann eigene Anfrage-Systeme wirtschaftlicher sind.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-07-03;2026-07-30;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome erfahrungen";0;1;0,0000;33,00;0;0;0,0000;0,00;0;1;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Erfahrungen für Handwerker: Kosten & Einordnung";"Aroundhome aus Handwerker-Sicht: was öffentliche Erfahrungen zeigen, wie die Kosten-Logik funktioniert und wann eigene Anfrage-Systeme wirtschaftlicher sind.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-07-03;2026-07-30;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome kosten";0;12;0,0000;6,92;0;0;0,0000;0,00;0;12;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Erfahrungen für Handwerker: Kosten & Einordnung";"Aroundhome aus Handwerker-Sicht: was öffentliche Erfahrungen zeigen, wie die Kosten-Logik funktioniert und wann eigene Anfrage-Systeme wirtschaftlicher sind.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-07-03;2026-07-30;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome kosten für handwerker";0;8;0,0000;4,50;0;0;0,0000;0,00;0;8;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Erfahrungen für Handwerker: Kosten & Einordnung";"Aroundhome aus Handwerker-Sicht: was öffentliche Erfahrungen zeigen, wie die Kosten-Logik funktioniert und wann eigene Anfrage-Systeme wirtschaftlicher sind.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-07-03;2026-07-30;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome leads kaufen";0;4;0,0000;17,25;0;0;0,0000;0,00;0;4;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Erfahrungen für Handwerker: Kosten & Einordnung";"Aroundhome aus Handwerker-Sicht: was öffentliche Erfahrungen zeigen, wie die Kosten-Logik funktioniert und wann eigene Anfrage-Systeme wirtschaftlicher sind.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-07-03;2026-07-30;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome login";0;3;0,0000;10,00;0;0;0,0000;0,00;0;3;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Erfahrungen für Handwerker: Kosten & Einordnung";"Aroundhome aus Handwerker-Sicht: was öffentliche Erfahrungen zeigen, wie die Kosten-Logik funktioniert und wann eigene Anfrage-Systeme wirtschaftlicher sind.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
