Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
andreas may;1;1;0;210;0.00;https://andreas-may.com/;94.38;0.00;0.33;92;
photovoltaik leads kaufen;8;12;4;110;13.48;https://andreas-may.com/photovoltaik-leads-kaufen/;1.12;65.00;0.72;172;
may agentur;5;5;0;140;0.00;https://andreas-may.com/;0.56;0.00;0.33;107;
pv leads kaufen;8;8;0;90;14.45;https://andreas-may.com/photovoltaik-leads-kaufen/;0.56;35.00;0.72;172;
pv leads;22;22;0;170;9.56;https://andreas-may.com/photovoltaik-leads-kaufen/;0.00;0.00;0.59;120;
andrea may;24;24;0;70;0.00;https://andreas-may.com/;0.00;0.00;0.33;95;
andrea may;56;56;0;70;0.00;https://deinekarriere.andreas-may.com/;0.00;0.00;0.33;95;
andreas may;17;17;0;210;0.00;https://deinekarriere.andreas-may.com/offene-stellen/;0.00;0.00;0.33;92;
andreas may;27;27;0;210;0.00;https://deinekarriere.andreas-may.com/offene-stellen/business-manager/;0.00;0.00;0.33;92;
andreas may;36;36;0;210;0.00;https://deinekarriere.andreas-may.com/;0.00;0.00;0.33;92;
andreas may;40;40;0;210;0.00;https://andreas-may.com/kontakt-aufnehmen/;0.00;0.00;0.33;92;
andreas may;46;46;0;210;0.00;https://andreas-may.com/fallstudien/;0.00;0.00;0.33;92;
agentur für facebook marketing;45;45;0;260;14.62;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.06;110;
agentur für facebook marketing;54;54;0;260;14.62;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.06;110;
solar lead generation;13;13;0;70;9.06;https://andreas-may.com/photovoltaik-leads-kaufen/;0.00;0.00;0.62;12300;
facebook kampagne agentur;41;41;0;140;0.00;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.33;113;
agentur für facebook werbung;55;55;0;210;14.93;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.24;109;
agentur facebook werbung;22;22;0;170;14.93;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.24;111;
agentur facebook werbung;35;35;0;170;14.93;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.24;111;
facebook werbung agentur;28;28;0;320;14.93;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.24;106;
facebook ad agentur;38;38;0;90;12.93;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.32;107;
andre may;40;40;0;110;0.00;https://andreas-may.com/;0.00;0.00;0.01;107;
andre may;47;47;0;110;0.00;https://deinekarriere.andreas-may.com/;0.00;0.00;0.01;107;
solar leads;15;15;0;70;12.33;https://andreas-may.com/photovoltaik-leads-kaufen/;0.00;0.00;0.66;184;
andré may;28;28;0;140;0.00;https://andreas-may.com/;0.00;0.00;0.01;869000000;
andré may;36;36;0;140;0.00;https://deinekarriere.andreas-may.com/;0.00;0.00;0.01;869000000;
andré may;44;44;0;140;0.00;https://andreas-may.com/fallstudien/;0.00;0.00;0.01;869000000;
agentur-may.com;24;24;0;70;0.00;https://andreas-may.com/;0.00;0.00;0.33;241;
agentur für facebook;35;35;0;170;11.88;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.30;114;
facebook agentur;27;27;0;1000;19.22;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.19;36500000;
facebook agentur;34;34;0;1000;19.22;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.19;36500000;
facebook agentur;84;84;0;1000;19.22;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.19;36500000;
facebook agentur;96;96;0;1000;19.22;https://andreas-may.com/facebook-ads-agentur/;0.00;0.00;0.19;36500000;
buy solar leads;53;53;0;70;0.00;https://andreas-may.com/photovoltaik-leads-kaufen/;0.00;0.00;0.00;194;
