Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
anfragenfluss;1;1;0;320;9.00;https://www.anfragenfluss.de/;72.47;79.08;0.10;87;
anfragenfluss gmbh;1;1;0;110;6.07;https://www.anfragenfluss.de/;24.77;18.13;0.20;108;
photovoltaik leads;9;9;0;210;11.71;https://anfragenfluss.de/;0.91;1.22;0.70;175;
pv leads kaufen;7;7;0;90;14.45;https://anfragenfluss.de/neuigkeiten/pv-leads-selbst-generieren-oder-kaufen-make-or-buy;0.91;1.55;0.72;172;
074557884206;14;14;0;390;0.00;https://anfragenfluss.de/;0.91;0.00;0.33;309;
pv leads;31;31;0;170;9.56;https://anfragenfluss.de/;0.00;0.00;0.59;120;
leadfluss;30;30;0;170;3.94;https://www.anfragenfluss.de/experience;0.00;0.00;0.11;97;
leadfluss;63;63;0;170;3.94;https://experience.anfragenfluss.de/;0.00;0.00;0.11;97;
leadfluss;68;68;0;170;3.94;https://experience.anfragenfluss.de/;0.00;0.00;0.11;97;
leadfluss;76;76;0;170;3.94;https://experience.anfragenfluss.de/anfragenfluss;0.00;0.00;0.11;97;
leadfluss;82;82;0;170;3.94;https://www.anfragenfluss.de/ueber-uns;0.00;0.00;0.11;97;
photovoltaik leads;43;43;0;210;11.71;https://anfragenfluss.de/photovoltaik-leads;0.00;0.00;0.70;175;
photovoltaik leads kaufen;9;0;0;110;13.48;https://anfragenfluss.de/;0.00;0.00;0.72;172;
photovoltaik leads kaufen;20;0;0;110;13.48;https://anfragenfluss.de/;0.00;0.00;0.72;172;
photovoltaik leads kaufen;29;0;0;110;13.48;https://anfragenfluss.de/photovoltaik-leads;0.00;0.00;0.72;172;
photovoltaik leads kaufen;50;0;0;110;13.48;https://anfragenfluss.de/neuigkeiten/photovoltaik-leads-kaufen-anbieter-vergleich;0.00;0.00;0.72;172;
photovoltaik leads kaufen;85;0;0;110;13.48;https://anfragenfluss.de/solar-leads;0.00;0.00;0.72;172;
photovoltaik leads kaufen;94;0;0;110;13.48;https://anfragenfluss.de/neuigkeiten/photovoltaik-anfragen-kaufen-exklusiv-vs-portal-leads;0.00;0.00;0.72;172;
lieckipedia;60;60;0;880;1.99;https://anfragenfluss.de/;0.00;0.00;1.00;108;
pv leads kaufen;24;24;0;90;14.45;https://anfragenfluss.de/;0.00;0.00;0.72;172;
pv leads kaufen;54;54;0;90;14.45;https://anfragenfluss.de/photovoltaik-leads;0.00;0.00;0.72;172;
pv leads kaufen;69;69;0;90;14.45;https://anfragenfluss.de/photovoltaik-leads;0.00;0.00;0.72;172;
pv leads kaufen;71;71;0;90;14.45;https://anfragenfluss.de/neuigkeiten/beste-pv-lead-anbieter-vergleich;0.00;0.00;0.72;172;
pv leads kaufen;86;86;0;90;14.45;https://anfragenfluss.de/solar-leads;0.00;0.00;0.72;172;
asked gmbh;41;41;0;260;0.85;https://anfragenfluss.de/;0.00;0.00;0.03;0;
asked gmbh;80;80;0;260;0.85;https://experience.anfragenfluss.de/;0.00;0.00;0.03;0;
extremnews;31;31;0;390;0.00;https://www.anfragenfluss.de/;0.00;0.00;0.00;14100;
oripv;53;53;0;170;1.53;https://anfragenfluss.de/;0.00;0.00;0.07;92;
beg förderung 2026;15;15;0;70;0.74;https://anfragenfluss.de/neuigkeiten/beg-foerderung-heizung-2026-aktueller-stand;0.00;0.00;0.66;79;
denpaflux;30;30;0;90;0.00;https://anfragenfluss.de/;0.00;0.00;0.33;107;
reyting gmbh;42;42;0;170;1.59;https://www.anfragenfluss.de/;0.00;0.00;0.06;72;
+49 176 13648577;39;39;0;1300;0.00;https://anfragenfluss.de/;0.00;0.00;0.00;109;
solar leads;16;16;0;70;12.33;https://anfragenfluss.de/solar-leads;0.00;0.00;0.66;184;
talentfluss;9;9;0;110;0.00;https://www.anfragenfluss.de/recruiting;0.00;0.00;0.08;106;
talentfluss;68;68;0;110;0.00;https://anfragenfluss.de/ueber-uns;0.00;0.00;0.08;106;
talentfluss;76;76;0;110;0.00;https://karriere.anfragenfluss.de/;0.00;0.00;0.08;106;
anton gavrilov;27;27;0;210;0.00;https://anfragenfluss.de/ueber-uns;0.00;0.00;0.33;108;
vertriebsfluss;29;29;0;320;2.09;https://anfragenfluss.de/;0.00;0.00;0.07;107;
vertriebsfluss;73;73;0;320;2.09;https://www.anfragenfluss.de/recruiting;0.00;0.00;0.07;107;
vertriebsfluss;78;78;0;320;2.09;https://karriere.anfragenfluss.de/home;0.00;0.00;0.07;107;
vertriebsfluss;80;80;0;320;2.09;https://experience.anfragenfluss.de/;0.00;0.00;0.07;107;
vertriebsfluss;82;82;0;320;2.09;https://www.anfragenfluss.de/datenschutz;0.00;0.00;0.07;107;
vertriebsfluss;85;85;0;320;2.09;https://www.anfragenfluss.de/ueber-uns;0.00;0.00;0.07;107;
hochpreis leadquelle;52;52;0;260;5.55;https://anfragenfluss.de/;0.00;0.00;0.50;104;
vertriebsfluss gmbh;27;27;0;320;2.96;https://anfragenfluss.de/;0.00;0.00;0.02;101;
vertriebsfluss gmbh;62;62;0;320;2.96;https://experience.anfragenfluss.de/;0.00;0.00;0.02;101;
leuchter media;27;27;0;140;2.02;https://experience.anfragenfluss.de/;0.00;0.00;0.07;106;
biddingground;72;72;0;70;8.33;https://www.anfragenfluss.de/;0.00;0.00;0.05;103;
buy solar leads;30;30;0;70;0.00;https://anfragenfluss.de/solar-leads;0.00;0.00;0.00;194;
