Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
hnt;4;4;0;1000;0.00;https://www.hntmedia.de/;71.42;0.00;0.01;142;
h n t;3;3;0;170;2.25;https://www.hntmedia.de/;14.28;50.00;0.01;150;
$hnt;4;4;0;170;2.25;https://www.hntmedia.de/;14.28;50.00;0.01;133;
was kostet werbung auf facebook;40;40;0;90;2.35;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.48;105;
pv leads;13;13;0;170;9.56;https://www.hntmedia.de/post/wo-kannst-du-die-besten-pv-leads-kaufen;0.00;0.00;0.59;120;
kosten für facebook werbung;53;53;0;110;1.54;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;104;
leads vs;59;59;0;170;0.00;https://www.hntmedia.de/post/leads-sind-nicht-gleich-leads-verstehe-die-entscheidenden-unterschiede-fur-deinen-unternehmenserfolg;0.00;0.00;0.33;134;
photovoltaik leads;33;33;0;210;11.71;https://www.hntmedia.de/post/wo-kannst-du-die-besten-pv-leads-kaufen;0.00;0.00;0.70;175;
photovoltaik leads kaufen;11;11;0;110;13.48;https://www.hntmedia.de/post/wo-kannst-du-die-besten-pv-leads-kaufen;0.00;0.00;0.72;172;
kosten für werbung auf facebook;51;51;0;170;1.54;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;103;
facebook advertising kosten;64;64;0;70;1.34;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.58;20400000;
facebook ads kosten;60;60;0;170;2.42;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;104;
kosten facebook werbung;56;56;0;140;1.77;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.43;104;
pv leads kaufen;10;10;0;90;14.45;https://www.hntmedia.de/post/wo-kannst-du-die-besten-pv-leads-kaufen;0.00;0.00;0.72;172;
facebook kosten werbung;51;51;0;140;1.54;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;103;
hinte marketing & media gmbh;61;61;0;90;0.00;https://www.hntmedia.de/;0.00;0.00;0.08;109;
solar leads;55;55;0;70;12.33;https://www.hntmedia.de/post/wo-kannst-du-die-besten-pv-leads-kaufen;0.00;0.00;0.66;184;
h n t;9;9;0;170;2.25;https://www.hntmedia.de/log-in;0.00;0.00;0.01;150;
was kostet werbung bei facebook;35;35;0;90;1.25;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.41;91;
ugccontent;26;26;0;70;1.67;https://www.hntmedia.de/post/woher-bekomme-ich-ugc-content;0.00;0.00;0.26;127;
werbung bei facebook kosten;52;52;0;140;1.54;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;104;
$hnt;8;8;0;170;2.25;https://www.hntmedia.de/log-in;0.00;0.00;0.01;133;
hnt;9;9;0;1000;0.00;https://www.hntmedia.de/log-in;0.00;0.00;0.01;142;
was kostet facebook werbung;44;44;0;110;1.56;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.46;104;
leads and marketing;68;68;0;390;3.98;https://www.hntmedia.de/post/leads-sind-nicht-gleich-leads-verstehe-die-entscheidenden-unterschiede-fur-deinen-unternehmenserfolg;0.00;0.00;0.26;130;
werbung über facebook kosten;52;52;0;140;1.54;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;108;
werbung auf facebook kosten;52;52;0;170;1.77;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.43;102;
werbung facebook kosten;61;61;0;90;1.31;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.39;97;
facebook werbung kosten;56;56;0;210;1.54;https://www.hntmedia.de/post/what-will-website-be-like-in-100-years;0.00;0.00;0.37;105;
buy solar leads;73;73;0;70;0.00;https://www.hntmedia.de/post/wo-kannst-du-die-besten-pv-leads-kaufen;0.00;0.00;0.00;194;
