Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
smart11 gmbh;1;1;0;210;1.55;https://www.smart11.de/;51.69;28.26;0.04;108;
smart 11;1;1;0;110;0.00;https://www.smart11.de/;27.07;0.00;0.02;148;
smart11;1;1;0;170;5.63;https://www.smart11.de/;12.92;25.65;0.02;88;
google ads agentur;22;22;0;6600;25.40;https://www.smart11.de/google-ads-agentur;2.76;24.78;0.64;104;
social recruiting agentur;7;7;0;720;8.44;https://www.smart11.de/social-recruiting-agentur;1.53;4.56;0.62;105;
google agenturen;7;7;0;110;35.98;https://www.smart11.de/google-ads-agentur;0.61;7.71;0.20;137;
instagram ads agentur;16;16;0;720;7.74;https://www.smart11.de/facebook-instagram-agentur;0.61;1.63;0.12;137;
facebook marketing agentur;16;16;0;880;15.57;https://www.smart11.de/facebook-instagram-agentur;0.61;3.36;0.13;136;
google ads agentur b2b;12;12;0;170;36.29;https://www.smart11.de/google-ads-agentur;0.30;3.91;0.36;138;
vision11;46;46;0;170;0.00;https://www.smart11.de/;0.00;0.00;0.01;105;
google ads schalten lassen;16;16;0;90;46.94;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.54;107;
social emotion gmbh;22;22;0;90;0.48;https://www.smart11.de/social-recruiting-agentur;0.00;0.00;0.10;103;
pv leads;14;14;0;170;9.56;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.59;120;
think11;35;35;0;140;0.35;https://www.smart11.de/;0.00;0.00;0.19;108;
think11;48;48;0;140;0.35;https://www.smart11.de/das-team-von-smart11;0.00;0.00;0.19;108;
think11;55;55;0;140;0.35;https://www.smart11.de/die-geschichte;0.00;0.00;0.19;108;
google ads experten;38;38;0;170;44.67;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.21;160;
instagram agentur;91;91;0;880;10.19;https://www.smart11.de/facebook-instagram-agentur;0.00;0.00;0.41;109;
49 40 85599050;64;64;0;110;0.00;https://www.smart11.de/warmepumpen-leads;0.00;0.00;0.33;356;
lokal gefunden werden;6;6;0;70;0.00;https://www.smart11.de/lokales-seo;0.00;0.00;0.33;123;
photovoltaik leads;16;16;0;210;11.71;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.70;175;
agentur für facebook marketing;44;44;0;260;14.62;https://www.smart11.de/facebook-instagram-agentur;0.00;0.00;0.06;110;
performance recruiting gmbh;64;64;0;140;9.11;https://www.smart11.de/performance-marketing-agentur;0.00;0.00;0.16;101;
hallenbau malchin;30;30;0;70;0.00;https://www.smart11.de/social-recruiting-agentur;0.00;0.00;0.04;591;
photovoltaik leads kaufen;23;0;0;110;13.48;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.72;172;
solar lead generation;10;10;0;70;9.06;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.62;12300;
arbeitgebermarke stärken;78;78;0;170;3.81;https://www.smart11.de/employer-branding;0.00;0.00;0.29;136;
google ads agentur deutschland;37;37;0;90;21.47;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.76;2800000;
google ads agentur deutschland;68;68;0;90;21.47;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.76;2800000;
google ads agentur hausach;48;48;0;70;0.00;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.00;3060;
empfehlungsprogramm;28;28;0;170;4.52;https://www.smart11.de/empfehlungsprogramm;0.00;0.00;0.14;86;
google ads marketing agentur;18;18;0;140;42.96;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.25;105;
44 7311;41;41;0;70;0.00;https://www.smart11.de/impressum;0.00;0.00;0.33;8290000;
b2b google ads agentur;78;78;0;90;0.00;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.00;393000;
pv leads kaufen;28;28;0;90;14.45;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.72;172;
performance recruiting funnel regensburg;62;62;0;90;0.00;https://www.smart11.de/;0.00;0.00;0.00;3900;
google ads agentur b2b;56;56;0;170;36.29;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.36;138;
ads-experten;17;17;0;320;0.00;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.00;100;
anfragenfluss gmbh;33;33;0;110;6.07;https://www.smart11.de/referenz-neukundengewinnung;0.00;0.00;0.20;108;
anfragenfluss gmbh;69;69;0;110;6.07;https://www.smart11.de/performance-marketing-agentur;0.00;0.00;0.20;108;
google ad agentur;47;47;0;210;18.36;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.32;137;
agentur google ads;20;20;0;590;32.98;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.66;108;
google ads düsseldorf;23;23;0;140;13.41;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.23;12100000;
google ads agentur für kleine unternehmen;10;10;0;70;0.00;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.00;107;
heinrich trick innovationen gmbh;62;62;0;70;0.80;https://www.smart11.de/referenz-neukundengewinnung;0.00;0.00;0.04;106;
