report;seed;keyword;volume;cpc;competition;relevance
# Hinweis: Trends-Sparklines und Number-of-Results aus Platzgruenden entfernt; alle Volumen-/CPC-/Competition-Werte verbatim aus Semrush (de, live, 2026-07-03).
phrase_related;pv leads;anfragenfluss;320;9.00;0.10;0.05
phrase_related;pv leads;photovoltaik leads;210;9.78;0.77;0.6
phrase_related;pv leads;anfragenfluss gmbh;110;6.07;0.20;0.1
phrase_related;pv leads;photovoltaik leads kaufen;110;13.81;0.88;0.35
phrase_related;pv leads;pv leads kaufen;90;13.81;0.88;0.35
phrase_related;pv leads;solar leads;90;9.06;0.62;0.15
phrase_related;pv leads;solar lead generation;70;9.06;0.62;0.1
phrase_related;photovoltaik leads kaufen;anfragenfluss;320;9.00;0.10;0.05
phrase_related;photovoltaik leads kaufen;photovoltaik leads;210;9.78;0.77;0.5
phrase_related;photovoltaik leads kaufen;pv leads;170;9.56;0.59;0.35
phrase_related;photovoltaik leads kaufen;anfragenfluss gmbh;110;6.07;0.20;0.05
phrase_related;photovoltaik leads kaufen;daa leads;90;9.94;0.55;0.05
phrase_related;photovoltaik leads kaufen;pv leads kaufen;90;13.81;0.88;0.8
phrase_related;photovoltaik leads kaufen;solar leads;90;9.06;0.62;0.25
phrase_related;photovoltaik leads kaufen;buy solar leads;70;0;0.33;0.1
phrase_related;photovoltaik leads kaufen;solar lead generation;70;9.06;0.62;0.1
phrase_related;leads kaufen;leads;5400;4.9;0.09;0.05
phrase_related;leads kaufen;adressen kaufen;590;8;0.75;0.05
phrase_related;leads kaufen;firmenadressen kaufen;480;7.42;0.46;0.05
phrase_related;leads kaufen;b2b leads;260;8.82;0.54;0.1
phrase_related;leads kaufen;immobilien leads;260;3.99;0.63;0.1
phrase_related;leads kaufen;adressdaten kaufen;210;8;0.75;0.05
phrase_related;leads kaufen;leads sale;210;5.72;0.16;0.1
phrase_related;leads kaufen;b2b adressen;170;7.24;0.45;0.05
phrase_related;leads kaufen;b2b datenbank;170;10.43;0.42;0.05
phrase_related;leads kaufen;b2b leads kaufen;170;8.77;0.62;0.35
phrase_related;leads kaufen;daten kaufen;170;2.93;0.91;0.05
phrase_related;leads kaufen;datensätze kaufen;170;3.92;0.66;0.05
phrase_related;leads kaufen;immobilien leads kaufen;170;4.47;0.78;0.15
phrase_related;leads kaufen;kaufdirleads;170;0.28;0.28;0.2
phrase_related;leads kaufen;leads for b2b;170;10.83;0.33;0.05
phrase_related;leads kaufen;leads kaufen versicherung;170;3.11;0.84;0.2
phrase_related;leads kaufen;adressen kaufen b2b;140;9.57;0.62;0.05
phrase_related;leads kaufen;b2b adressen kaufen;140;9.37;0.67;0.05
phrase_related;leads kaufen;kaufdirleads gmbh;140;0;0.02;0.1
